数据库：月度数据
时间：最近13个月
指标,2023年4月,2023年3月,2023年2月,2023年1月,2022年12月,2022年11月,2022年10月,2022年9月,2022年8月,2022年7月,2022年6月,2022年5月
货币和准货币(M2)供应量期末值(亿元),2808500.00,2814566.31,2755249.23,2738072.06,2664320.84,2647008.48,2612914.57,2626600.92,2595068.27,2578078.57,2581451.20,2527026.15
货币和准货币(M2)供应量同比增长(%),12.4,12.7,12.9,12.6,11.8,12.4,11.8,12.1,12.2,12.0,11.4,11.1
货币(M1)供应量期末值(亿元),669800.00,678059.63,657938.74,655214.16,671674.76,667042.61,662140.99,664535.17,664604.85,661832.33,674374.81,645107.52
货币(M1)供应量同比增长(%),5.3,5.1,5.8,6.7,3.7,4.6,5.8,6.4,6.1,6.7,5.8,4.6
流通中现金(M0)供应量期末值(亿元),105900.00,105591.30,107602.58,114601.30,104706.03,99740.12,98416.71,98672.06,97231.03,96509.19,96011.17,95546.86
流通中现金(M0)供应量同比增长(%),10.7,11.0,10.6,7.9,15.3,14.1,14.3,13.6,14.3,13.9,13.8,13.5
注：货币供应量已包含住房公积金中心存款和非存款类金融机构在存款类金融机构的存款。2001年6月起，将证券公司客户保证金计入货币供应量(M2)，含在其他存款项内。
数据来源：国家统计局
