Date,AAPL,GLD
2020-01-02,72.716064453125,143.9499969482422
2020-01-03,72.0091323852539,145.86000061035156
2020-01-06,72.58292388916016,147.38999938964844
2020-01-07,72.24154663085938,147.97000122070312
2020-01-08,73.40364074707031,146.86000061035156
2020-01-09,74.96280670166016,146.02999877929688
2020-01-10,75.13227844238281,146.91000366210938
2020-01-13,76.73741912841797,145.82000732421875
2020-01-14,75.70121002197266,145.69000244140625
2020-01-15,75.37680053710938,146.5399932861328
2020-01-16,76.3210220336914,146.30999755859375
2020-01-17,77.16595458984375,146.5800018310547
2020-01-21,76.64300537109375,146.74000549316406
2020-01-22,76.91659545898438,146.7899932861328
2020-01-23,77.28700256347656,147.1199951171875
2020-01-24,77.06426239013672,147.97999572753906
2020-01-27,74.79816436767578,148.99000549316406
2020-01-28,76.91414642333984,147.66000366210938
2020-01-29,78.52415466308594,148.4600067138672
2020-01-30,78.41036987304688,148.47000122070312
2020-01-31,74.93375396728516,149.3300018310547
2020-02-03,74.72794342041016,148.36000061035156
2020-02-04,77.19499969482422,146.42999267578125
2020-02-05,77.82447052001953,146.61000061035156
2020-02-06,78.73478698730469,147.39999389648438
2020-02-07,77.6645736694336,147.7899932861328
2020-02-10,78.03343200683594,148.1699981689453
2020-02-11,77.5626449584961,147.66000366210938
2020-02-12,79.40457153320312,147.5399932861328
2020-02-13,78.83912658691406,148.3800048828125
2020-02-14,78.85856628417969,149.0
2020-02-18,77.41460418701172,150.91000366210938
2020-02-19,78.53578186035156,151.7899932861328
2020-02-20,77.73009490966797,152.41000366210938
2020-02-21,75.97064208984375,154.6999969482422
2020-02-24,72.3620376586914,156.08999633789062
2020-02-25,69.91098022460938,153.3000030517578
2020-02-26,71.02000427246094,153.97000122070312
2020-02-27,66.37757110595703,154.0
2020-02-28,66.33873748779297,148.3800048828125
2020-03-02,72.5149154663086,149.1999969482422
2020-03-03,70.21189880371094,153.88999938964844
2020-03-04,73.46864318847656,154.16000366210938
2020-03-05,71.0855484008789,157.49000549316406
2020-03-06,70.14151763916016,157.5500030517578
2020-03-09,64.59386444091797,157.80999755859375
2020-03-10,69.24604034423828,154.47999572753906
2020-03-11,66.84107208251953,153.92999267578125
2020-03-12,60.240211486816406,147.7899932861328
2020-03-13,67.45751190185547,143.27999877929688
2020-03-16,58.77928924560547,141.63999938964844
2020-03-17,61.36382293701172,143.55999755859375
2020-03-18,59.86164093017578,140.6999969482422
2020-03-19,59.40296936035156,138.0399932861328
2020-03-20,55.63174057006836,140.11000061035156
2020-03-23,54.449886322021484,146.3000030517578
2020-03-24,59.912601470947266,153.39999389648438
2020-03-25,59.58254623413086,151.3000030517578
2020-03-26,62.71796417236328,153.24000549316406
2020-03-27,60.121307373046875,152.25
2020-03-30,61.837032318115234,152.9199981689453
2020-03-31,61.71084976196289,148.0500030517578
2020-04-01,58.463802337646484,149.4499969482422
2020-04-02,59.439369201660156,151.89999389648438
2020-04-03,58.58514404296875,152.64999389648438
2020-04-06,63.695960998535156,156.8800048828125
2020-04-07,62.958221435546875,156.0399932861328
2020-04-08,64.56961822509766,154.64999389648438
2020-04-09,65.03556060791016,158.69000244140625
2020-04-13,66.3120346069336,161.41000366210938
2020-04-14,69.6610107421875,162.67999267578125
2020-04-15,69.02519989013672,161.85000610351562
2020-04-16,69.57363891601562,161.7100067138672
2020-04-17,68.62963104248047,158.57000732421875
2020-04-20,67.2051010131836,159.6999969482422
2020-04-21,65.12776947021484,158.61000061035156
2020-04-22,67.00366973876953,161.72999572753906
2020-04-23,66.74401092529297,163.33999633789062
2020-04-24,68.6708755493164,162.63999938964844
2020-04-27,68.71942901611328,161.55999755859375
2020-04-28,67.60552215576172,160.83999633789062
2020-04-29,69.82601928710938,161.72999572753906
2020-04-30,71.29908752441406,158.8000030517578
2020-05-01,70.1512451171875,159.77999877929688
2020-05-04,71.14379119873047,160.33999633789062
2020-05-05,72.21157836914062,161.02000427246094
2020-05-06,72.95660400390625,158.9499969482422
2020-05-07,73.7113265991211,161.38999938964844
2020-05-08,75.46578979492188,160.4199981689453
2020-05-11,76.65325927734375,159.4199981689453
2020-05-12,75.77725219726562,160.0399932861328
2020-05-13,74.86231231689453,161.5800018310547
2020-05-14,75.32221221923828,163.00999450683594
2020-05-15,74.87689971923828,163.92999267578125
2020-05-18,76.64108276367188,162.69000244140625
2020-05-19,76.19822692871094,164.25999450683594
2020-05-20,77.68013763427734,164.64999389648438
2020-05-21,77.10099029541016,162.25
2020-05-22,77.597412109375,163.2100067138672
2020-05-26,77.0718002319336,160.88999938964844
2020-05-27,77.40760040283203,161.17999267578125
2020-05-28,77.44166564941406,161.72000122070312
2020-05-29,77.36622619628906,162.91000366210938
2020-06-01,78.31766510009766,163.66000366210938
2020-06-02,78.68025207519531,162.60000610351562
2020-06-03,79.1133804321289,159.60000610351562
2020-06-04,78.43205261230469,161.27999877929688
2020-06-05,80.6658706665039,158.00999450683594
2020-06-08,81.142822265625,159.72000122070312
2020-06-09,83.70511627197266,161.25999450683594
2020-06-10,85.85865020751953,163.57000732421875
2020-06-11,81.73654174804688,162.38999938964844
2020-06-12,82.44220733642578,162.6199951171875
2020-06-15,83.46179962158203,162.3300018310547
2020-06-16,85.6737289428711,162.25
2020-06-17,85.55448913574219,162.55999755859375
2020-06-18,85.58854675292969,162.24000549316406
