Date,Close_AAPL,Close_TLT,High_AAPL,High_TLT,Low_AAPL,Low_TLT,Open_AAPL,Open_TLT,Volume_AAPL,Volume_TLT
2020/1/2,72.71605682373047,120.1529312133789,72.77658292273667,120.60895661360287,71.46679725362982,119.85476642075616,71.72100391407992,119.95999790487721,135480400,11034100
2020/1/3,72.00911712646484,122.0032730102539,72.77174458511139,122.03835907696009,71.7839617851537,120.9158458078085,71.94132818321717,121.25786136041853,146322800,12366000
2020/1/6,72.58290100097656,121.31048583984375,72.62163859417052,122.52070098174623,70.87606782262263,121.15262529109293,71.12785848416316,122.50315794712621,118387200,11369800
2020/1/7,72.24154663085938,120.7141342163086,72.84922374466596,121.43325138727293,72.02123070618616,120.70536939035063,72.59259363206662,121.21401030560045,108872000,8381200
2020/1/8,73.4036636352539,119.91613006591797,73.70629425897245,121.29295736705434,71.9437738019734,119.54780658316652,71.9437738019734,120.95970657633892,132079200,10621700
2020/1/9,74.96281433105469,120.33704376220703,75.15649496744561,120.52997698103795,74.13239770457567,119.18822265643156,74.38418105419532,119.26714623284055,170108400,7411500
2020/1/10,75.13226318359375,121.40692901611328,75.69879404161257,121.43323687225629,74.62868922900458,120.696590137428,75.19763610714092,120.73166281848131,140644800,8776000
2020/1/13,76.7374038696289,121.0386734008789,76.76403919399131,121.1000539724334,75.33077798259308,120.48618134979066,75.44941415548828,120.91589887635035,121532000,5966900
2020/1/14,75.70120239257812,121.66129302978516,76.88509646087522,121.74023001224735,75.57773417210761,121.14388713660266,76.67446681398555,121.17895983214994,161954400,13920300
2020/1/15,75.37677001953125,122.46808624267578,76.38392503657866,122.56455287227885,74.94340114945155,121.9156077107821,75.5002456065532,122.35408995781124,121923600,6290500
2020/1/16,76.32098388671875,122.08222198486328,76.43235722338372,122.36284363906289,75.55835655241987,121.67004763968872,75.92151312955643,122.12605950043994,108829200,6798600
2020/1/17,77.16593933105469,121.0386734008789,77.16835535095495,121.14390488435492,76.26288724448004,120.45987347892165,76.57035717765905,120.65280678624073,137816400,9693100
2020/1/21,76.64300537109375,122.3101806640625,77.23615682397768,122.46802777455456,76.50500406521856,121.69630848757696,76.79310894375465,121.73138116277191,110843200,6794900
2020/1/22,76.91658020019531,122.73995971679688,77.47099402402007,122.89780690681506,76.82215592624772,122.41547374606522,77.1296258918447,122.52948341535607,101832400,6317000
2020/1/23,77.28700256347656,123.59940338134766,77.3668937772688,123.98526997920555,76.42026453610515,123.4590858218686,76.96984634011159,123.5204797721728,104472000,9747400
2020/1/24,77.06425476074219,124.59912109375,78.27961624864055,125.01129549027229,76.87299020657808,123.91508983599317,77.53393791090298,124.02032129675064,146537600,8585000
2020/1/27,74.79816436767578,126.5371322631836,75.48089322464955,126.5371322631836,73.81279759380895,125.84433657681758,75.06689673049003,126.2389677086164,161940000,10935200
2020/1/28,76.9141616821289,125.5462417602539,77.08605376922371,126.36181232690792,75.58258723533865,125.24807704006317,75.6818509443487,126.22149479455355,162234000,10612900
2020/1/29,78.52416229248047,126.77397155761719,79.37395133976464,126.89674603839414,77.80753513570895,125.78299750329364,78.5507976259598,125.79177571140151,216229200,9566800
2020/1/30,78.4103775024414,126.79154205322266,78.46364078408652,127.74743024497279,77.17080373518314,126.5372148284781,77.60417282727558,127.07216376374134,126743200,14711800
2020/1/31,74.93374633789062,127.9491195678711,78.12225762194025,128.0280565454438,74.63837863048332,127.2387804396342,77.69857485901245,127.30893920780062,199588400,14538100
2020/2/3,74.72795104980469,127.84545135498047,75.89731214570682,128.0387051453949,73.16879799630816,126.59809451008115,73.67237193822604,127.3271859187088,173788400,15309000
2020/2/4,77.19499969482422,126.12371063232422,77.38626426505087,126.61562433293827,75.93121426303615,125.66692788019272,76.33794793595989,126.48386652157488,136616400,11388300
2020/2/5,77.824462890625,124.74462127685547,78.62582786926725,125.35073420244386,77.21920188630669,124.64799438431751,78.32561338698618,124.99937099520427,118826800,10782600
2020/2/6,78.73477935791016,125.30680847167969,78.73720276650342,125.50885504611638,77.53636686633509,124.73583991802077,78.09562750675829,124.89394933768745,105425600,6683100
2020/2/7,77.6645736694336,126.87041473388672,78.48240085764334,127.14273666637114,77.1719355094332,126.37850082326125,78.23244174012544,126.68595371922656,117684000,11374800
2020/2/10,78.03343963623047,127.22179412841797,78.03343963623047,127.59072956933721,76.1648155367922,127.09002285431527,76.24489635857795,127.45897169888359,109348800,6699300
2020/2/11,77.56266021728516,126.58052825927734,78.60375558460609,127.12514523448684,77.34425051799536,126.43997761933723,78.53095482016886,127.01094616407966,94323200,7784100
2020/2/12,79.40457153320312,125.93925476074219,79.409422447038,126.09737756120875,78.01401820106558,125.60546378845953,78.01401820106558,125.93925476074219,113730400,5595500
2020/2/13,78.83911895751953,126.42239379882812,79.16673706133996,126.6683506942549,78.4702495744921,125.85142530665429,78.6740990287421,126.00075532147444,94747600,7883400
2020/2/14,78.8585433959961,126.97579956054688,79.10850246780329,127.44136176979316,78.34891601878451,126.88795207049677,78.80757547409223,127.16026052454893,80113600,7137400
2020/2/18,77.41461181640625,127.84545135498047,77.59662109183667,128.29345487078103,76.34924730268484,127.30083434762025,76.53125657811528,127.66976974650758,152531200,6909200
2020/2/19,78.53580474853516,127.83668518066406,78.76635284298499,127.91573990210183,77.65730764080503,127.35355065468501,77.65730764080503,127.47652913369342,93984000,5707700
2020/2/20,77.73011016845703,128.83802795410156,78.78576569935353,129.07520541668652,77.22291175513422,128.24948739435914,78.29555659989744,128.31976269451923,100566000,9332900
2020/2/21,75.97065734863281,130.04151916503906,77.76648785830864,130.779403447007,75.35182886622782,129.69893529984463,77.32238114469776,129.83070657331882,129554000,13860300
2020/2/24,72.36201477050781,131.98284912109375,73.81808861613008,132.60653437228373,70.19004239437265,131.76324371490225,72.13875426152481,132.49233527189605,222195200,15929300
2020/2/25,69.91096496582031,132.6855926513672,73.4176795737371,133.30926451559196,69.43774534651452,131.88622573456863,73.03425000192122,131.94772168369957,230673600,20802900
2020/2/26,71.02001953,131.98284912109375,72.28923357582319,133.27412998179182,69.5275449173606,131.39430824093856,69.53482499231708,131.7193199529339,198054800,22589500
2020/2/27,66.3775863647461,133.4146270751953,69.40622427185191,134.46872992082422,66.24168665795082,132.49228205890319,68.21709813440401,134.1349255483112,320605600,30687900
2020/2/28,66.33876037597656,136.42764282226562,67.56429436979359,137.01618362660088,62.21564451650338,135.41746344538316,62.43163248715633,135.67219978614227,426510000,44935200
2020/3/2,72.51493072509766,135.4238739013672,73.15317785016722,137.67595121112794,67.39683013967526,135.26551758432234,68.5034460821462,136.62029165010753,341397200,28152400
2020/3/3,70.21189880371094,137.52642822265625,73.77442519005979,140.4910759944605,69.3576638774749,134.03394385287464,73.69434436871329,135.30953330397057,319475600,38608000
2020/3/4,73.46863555908203,136.06605529785156,73.62880458228122,138.42370779763118,71.13649400429283,135.64379418723382,71.93976087414214,137.59677028106904,219178400,23463700
2020/3/5,71.0855484008789,139.4530487060547,72.69450423193115,139.71696707005398,70.7191006767236,137.9487234276707,71.71650798671432,138.2302399288554,187572800,17786200
